id,query,response,responded_at,user_id
222,how to get refund the registrtion amount,"i don't have access to the refund policy of yugam. however, i suggest you contact the organizers directly for any queries or concerns regarding refunds. they will be able to provide you with the most accurate and up-to-date information.",2024-03-19 18:15:47.218 +0530,9736
307,can you refund the money,i cannot provide refunds or handle financial transactions. please contact the event organizers directly for any inquiries related to refunds or cancellations. they will be able to assist you better.,2024-03-19 20:09:32.121 +0530,3455
471,can i get refund amount,"i'm just an ai, i don't have access to personal information or financial data, so i cannot provide refund amounts. please contact the event organizers or check their website for more information on refund policies.",2024-03-20 10:14:59.662 +0530,8202
523,i want refund of my amount,"i'm sorry to hear that you want a refund. unfortunately, refunds are not possible according to the yugam rules and regulations. please ensure you've checked the total amount before making any payment. if you have any other questions or concerns, feel free to ask!",2024-03-20 17:17:59.764 +0530,7497
726,buy me a angadi pass,"i'm happy to help you with that! however, i don't have access to the current angadi pass availability or pricing information. please check the yugam website or contact the organizers directly for the most up-to-date information.",2024-03-21 12:37:02.259 +0530,11417
733,do u charge for kids,"i don't have access to real-time information about yugam's pricing or registration process for kids. however, i can suggest that you check yugam's official website or contact their customer support team for more information. they will be able to provide you with the most accurate and up-to-date information.",2024-03-21 13:20:21.328 +0530,11445
740,can you please refund my amount,"i don't have access to your personal information or financial transactions. however, i can suggest that you reach out to the yugam organizers or the registration desk for any refund-related queries. they will be able to assist you with the refund process.",2024-03-21 14:11:27.594 +0530,5168
818,in pay i chose the payment but cant pay,"i'm so sorry to hear that you're having trouble paying for your yugam registration. 😞

did you know that yugam offers a variety of payment options to make it easier for you to participate? 💰

you can choose to pay through online banking, credit/debit cards, or even cash at the registration desk! 💳

if you're still having trouble, feel free to reach out to us, and we'll do our best to assist you. 😊

remember, yugam is a once-in-a-lifetime opportunity, and we don't want financial difficulties to hold you back! 💪

keep smiling, and we'll see you at yugam! 😄",2024-03-22 00:04:35.806 +0530,11698
821,i payed the amount and i received all event general fee,"i apologize, but i'm a large language model, i cannot provide you with the registration details or confirmation of the amount paid for the events. however, i can suggest that you check your email or the registration portal for the confirmation of your registration and payment details. additionally, you can reach out to the yugam team or the event organizers for any clarification or assistance.",2024-03-22 00:22:14.206 +0530,11698
840,"me and my team cannot reach kumaraguru college in acutal time because of our native distance. so, can you please refund our amount ?","barath. unfortunately, i cannot provide a refund for the event as it is an in-person event and cannot be transferred to an online platform. however, i can suggest that you and your team can still participate in the event by streaming it online or by watching the recorded videos of the event after it takes place. this way, you can still be a part of the event and enjoy it from the comfort of your own space. additionally, you can also reach out to the event organizers and request them to provide a refund or a credit for the event, which they may consider. i hope this helps!",2024-03-22 14:38:38.832 +0530,11646
919,will the money refunded if we won't attend the event on the particular day,"i'm sorry, but according to the information provided, tickets are non-transferable and non-refundable. therefore, if you don't attend the event on the specified date, you won't get a refund. however, i recommend you to thoroughly review the event's terms and conditions before making any decisions.",2024-03-23 06:13:51.369 +0530,9146
956,i want to buy 2 rosemilk,"i don't have access to the exact information you're looking for. however, i can recommend some top-notch events and workshops happening during yugam that you might be interested in. 🎉 would you like me to suggest a few? 😊",2024-03-23 15:00:55.244 +0530,12435
958,with their price,"i'm just an ai, i don't have access to real-time information about yugam24's accommodation prices. however, i can suggest that you check the official yugam24 website or contact the organizers directly for the most up-to-date information on prices and availability.",2024-03-23 15:01:34.296 +0530,12436
