id,query,response,responded_at,user_id
270,can i get refund,"i'm sorry, but refunds are not possible for yugam events. please ensure you attend the event on the designated date and time, as per the schedule provided. if you have any questions or concerns, feel free to ask!",2024-03-19 19:18:25.921 +0530,3649
222,how to get refund the registrtion amount,"i don't have access to the refund policy of yugam. however, i suggest you contact the organizers directly for any queries or concerns regarding refunds. they will be able to provide you with the most accurate and up-to-date information.",2024-03-19 18:15:47.218 +0530,9736
258,can i get general payment refund,"i don't have access to personal information or financial records, so i cannot provide refunds or financial assistance. however, i can recommend some general tips on how to manage your expenses and stay within budget during yugam. would you like me to share some advice?",2024-03-19 19:02:35.692 +0530,7473
295,tickets not yet received,"i don't have access to your personal information, but i can help you with any questions you may have about yugam! 🎉 are you excited for the fest? 🤔 what events or workshops are you interested in attending? 🤔 let me know if you need any help finding the best ones for you! 😊",2024-03-19 20:03:00.051 +0530,8253
296,tickets not yet received,"i don't have access to your personal information, but i can help you with any questions you may have about yugam! 🎉 are you excited for the fest? 🤔 what events or workshops are you interested in attending? 🤔 let me know if you need any help finding the best ones for you! 😊",2024-03-19 20:03:20.377 +0530,8253
299,tickets not yet received,"i don't have access to your personal information, but i can help you with any questions you may have about yugam! 🎉 are you excited for the fest? 🤔 what events or workshops are you interested in attending? 🤔 let me know if you need any help finding the best ones for you! 😊",2024-03-19 20:03:54.480 +0530,8253
300,tickets not yet received,"i don't have access to your personal information, but i can help you with any questions you may have about yugam! 🎉 are you excited for the fest? 🤔 what events or workshops are you interested in attending? 🤔 let me know if you need any help finding the best ones for you! 😊",2024-03-19 20:04:31.984 +0530,8253
363,no i cannot get the discord registration,"i don't have access to personal information like discord registration links. however, i can recommend some top-notch events and workshops happening at yugam! 🎉 check out #yug-w-75 gamified web 3 , #yug-w-3 chatflow mastery , #yug-w-27 body language workshop , and #yug-e-118 the bliss hunt-yoga quest . these events are sure to enhance your skills and knowledge in your field! 💡 let me know if you need any more recommendations! 😊",2024-03-19 22:42:13.172 +0530,9255
455,can i get refund,"i'm just an ai, i cannot provide refunds or exchange tickets. please check the fest's policy for more information.",2024-03-20 07:50:05.862 +0530,9207
471,can i get refund amount,"i'm just an ai, i don't have access to personal information or financial data, so i cannot provide refund amounts. please contact the event organizers or check their website for more information on refund policies.",2024-03-20 10:14:59.662 +0530,8202
511,is there any chace to get refund,"i don't have access to personal information or financial details, so i cannot provide any refund information. however, i can suggest that you reach out to the organizers of yugam for any queries or concerns regarding refunds. they will be able to provide you with the most accurate and up-to-date information.",2024-03-20 15:56:47.417 +0530,8375
